,Mountain,Metres,Feet,Range,Location,Note,latlng
1213,Golden Hinde,2198.0,7211,,"#1 on Vancouver Island, British Columbia, Canada",", #1 on Vancouver Island, British Columbia, Canada","[51.506908, -0.0903056]"
1214,Mount Twynam,2196.0,7205,,"Snowy Mountains, New South Wales, Australia – Third-highest on mainland",", Snowy Mountains, New South Wales, Australia – Third-highest on mainland","[-35.23332999999997, 149.55000000000007]"
1215,Elkhorn Mountain,2195.0,7201,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[36.463130000000035, -94.03630999999996]"
1216,Mount Baldy,2192.0,7192,,"Alberta, Canada",", Alberta, Canada","[34.238043, -117.654461]"
1217,Golyam Perelik,2191.0,7188,,"Rhodope Mountain, Bulgaria",", Rhodope Mountain, Bulgaria","[41.60614000000004, 24.57444000000004]"
1218,Shiprock,2188.0,7178,,"New Mexico, US",", New Mexico, US","[36.793915, -108.68979]"
1219,Mount Tahan,2187.0,7175,,"Tahan Range, Pahang, Malaysia – Highest in Peninsular Malaysia",", Tahan Range, Pahang, Malaysia – Highest in Peninsular Malaysia","[4.6325500000000375, 102.23413000000005]"
1220,Mount Korbu,2183.0,7162,,"Titiwangsa Mountains, Perak, Malaysia",", Titiwangsa Mountains, Perak, Malaysia","[4.689990000000023, 101.29725000000008]"
1221,Mount Yong Belar,2180.0,7152,,"Perak, Malaysia",", Perak, Malaysia","[4.650000000000034, 101.36175000000009]"
1222,Doi Chiang Dao,2175.0,7136,,Thailand,", Thailand","[19.29131356, 98.92052312]"
1223,Galunggung,2168.0,7113,,Java,", Java","[-6.220943, 106.908821]"
1224,Levski Peak,2166.0,7106,,"Balkan Mountain, Bulgaria",", Balkan Mountain, Bulgaria","[-62.664439999999956, -60.10832999999997]"
1225,Monte Cimone,2165.0,7103,,Emilia-Romagna Italy,", Emilia-Romagna Italy","[44.19375000000008, 10.699600000000032]"
1226,Mount Hua,2155.0,7070,,"Shaanxi, China",", Shaanxi, China","[34.478890000000035, 110.06944000000004]"
1227,Mount Ugo,2150.0,7054,,"Cordillera Range, Benguet, Philippines",", Cordillera Range, Benguet, Philippines","[39.325661111000045, -76.41375555599996]"
1228,Mount Zulia,2149.0,7051,,Uganda,", Uganda","[4.128310000000056, 33.98381000000006]"
1229,Carruthers Peak,2145.0,7037,,"Snowy Mountains, New South Wales, Australia",", Snowy Mountains, New South Wales, Australia","[-36.40999999999997, 148.29140000000007]"
1230,Crna Glava,2139.0,7018,,"Bjelasica, Crna Gora",", Bjelasica, Crna Gora","[43.371602, 20.831682]"
1231,Mount Colonel Foster,2135.0,7005,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[49.749600000000044, -125.86960999999997]"
1232,Roche à Perdrix,2135.0,7005,,"Fiddle Range, Canadian Rockies, Canada",", Fiddle Range, Canadian Rockies, Canada","[53.216770000000054, -117.78566999999998]"
1233,Kodaikanal,2133.0,6998,,"Tamil Nadu, India",", Tamil Nadu, India","[10.2324814, 77.4821661]"
1234,Pilatus,2132.0,6995,,Switzerland,", Switzerland","[46.9790865, 8.2561395]"
1235,Strmenica,2122.0,6962,,"Bjelasica, Crna Gora",", Bjelasica, Crna Gora","[43.5112399, 20.9267438]"
1236,Phu Soi Dao,2120.0,6955,,Thailand/Laos,", Thailand/Laos","[17.746030000000076, 100.98717000000005]"
1237,Eagle Peak,2119.0,6952,,"Alaska, US",", Alaska, US","[61.16694000000007, -149.26693999999998]"
1238,Zekova Glava,2117.0,6946,,"Bjelasica, Crna Gora",", Bjelasica, Crna Gora","[42.850280000000055, 19.67861000000005]"
1239,Öræfajökull,2110.0,6923,,Iceland,", Iceland","[64.02167000000003, -16.643269999999973]"
1240,Mount Benum,2107.0,6913,,Malaysia,", Malaysia","[3.823000000000036, 102.09400000000005]"
1241,Mogotón,2107.0,6913,,Nicaragua – Highest in Nicaragua,", Nicaragua – Highest in Nicaragua","[13.763060000000053, -86.39905999999996]"
1242,Kebnekaise,2106.0,6909,,Sweden,", Sweden","[66.50002000000006, 17.079500000000053]"
1243,Rambler Peak,2092.0,6864,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[49.73336000000006, -125.81593999999996]"
1244,Mount McBride,2083.0,6834,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[49.71632000000005, -125.65292]"
1245,Pico do Selado,2082.0,6831,,"Monte Verde, Minas Gerais, Brazil",", Monte Verde, Minas Gerais, Brazil","[-22.864484, -46.034522]"
1246,Phou Khe,2079.0,6821,,Thailand/Laos,", Thailand/Laos","[20.397620000000074, 104.21212000000008]"
1247,Schneeberg,2076.0,6811,,"Northern Limestone Alps, Austria",", Northern Limestone Alps, Austria","[50.5952301, 12.6407413]"
1248,Mount Tate,2068.0,6785,,"Snowy Mountains, New South Wales, Australia",", Snowy Mountains, New South Wales, Australia","[-36.354649999999936, 148.3541600000001]"
1249,Bjelašnica,2067.0,6781,,"Sarajevo Canton, Bosnia and Herzegovina",", Sarajevo Canton, Bosnia and Herzegovina","[43.58552000000003, 17.893230000000074]"
1250,Kings Peak,2065.0,6775,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[-17.3252529, 30.1397118]"
1251,Hoverla,2061.0,6762,,Ukraine – Highest,", Ukraine – Highest","[48.0768802, 24.4500304]"
1252,Monte Miletto,2050.0,6726,,Molise Italy,", Molise Italy","[41.450000000000045, 14.366670000000056]"
1253,Lytton Mountain,2049.0,6722,,"British Columbia, Canada",", British Columbia, Canada","[50.16644000000008, -121.43586999999997]"
1254,Mount Katmai,2047.0,6716,,"Alaska, US",", Alaska, US","[58.27944000000008, -154.95166999999998]"
1255,Mount Dimlang,2042.0,6699,,"Adamawa, Nigeria",", Adamawa, Nigeria","[8.395790000000034, 11.777650000000051]"
1256,Mount Celeste,2041.0,6696,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[-20.8901606, -42.8844654]"
1257,Mount Mitchell,2037.0,6683,,"Yancey County, North Carolina, US - the highest peak of the Appalachian Mountains and the highest peak in mainland eastern North America",", Yancey County, North Carolina, US - the highest peak of the Appalachian Mountains and the highest peak in mainland eastern North America","[35.76484000000005, -82.26511999999997]"
1258,Namunukula,2035.0,6677,,Sri Lanka,", Sri Lanka","[6.8778646, 81.1144498]"
1259,Pico do Barbado,2033.0,6670,,"Bahia, Brazil – Highest point in Bahia",", Bahia, Brazil – Highest point in Bahia","[-13.29687999999993, -41.91047999999995]"
1260,Mount Batu Brinchang,2032.0,6667,,"Cameron Highlands, Pahang/Perak, Malaysia",", Cameron Highlands, Pahang/Perak, Malaysia","[4.517430000000047, 101.38258000000008]"
1261,Doi Mae Tho,2031.0,6663,,Thailand,", Thailand","[19.018830000000037, 99.39474000000007]"
1262,Clingmans Dome,2025.0,6644,,"Great Smoky Mountains, Tennessee, US",", Great Smoky Mountains, Tennessee, US","[35.56287000000003, -83.49849999999998]"
1263,Mount Heng (Shanxi),2017.0,6617,,"Shanxi, China",", Shanxi, China","[39.66667000000007, 113.73333000000002]"
1264,Kopaonik,2017.0,6617,,"Pančić's Peak, Serbia",", Pančić's Peak, Serbia","[43.2746755, 20.7840138]"
1265,Alpe di Succiso,2017.0,6617,,Province of Reggio Emilia Italy,", Province of Reggio Emilia Italy","[44.33292000000006, 10.19458000000003]"
1266,Kom,2016.0,6614,,"Balkan Mountain, Bulgaria",", Balkan Mountain, Bulgaria","[34.640100000000075, 50.87640000000005]"
1267,Polar Bear Peak,2016.0,6614,,"Chugach Mountains, Alaska, US",", Chugach Mountains, Alaska, US","[61.152780000000064, -149.19582999999997]"
1268,Mount Asgard,2015.0,6611,,"Baffin Mountains, Nunavut, Canada",", Baffin Mountains, Nunavut, Canada","[66.66746000000006, -65.26401999999996]"
1269,Mount Le Conte,2010.0,6594,,"Great Smoky Mountains, Tennessee, US",", Great Smoky Mountains, Tennessee, US","[36.540770000000066, -118.25202999999999]"
1270,Serra da Estrela,1993.0,6539,,Portugal,", Portugal","[-16.406289999999956, -53.23324999999994]"
1271,Mount Bogong,1986.0,6516,,Australia – Highest in Victoria,", Australia – Highest in Victoria","[-36.73235999999997, 147.30597000000012]"
1272,Mount Ishizuchi,1982.0,6503,,Japan – Tallest in Western Japan,", Japan – Tallest in Western Japan","[33.76825178000007, 133.11429546800002]"
1273,Doi Phu Kha,1980.0,6496,,"Luang Prabang Range, Thailand",", Luang Prabang Range, Thailand","[19.018170000000055, 100.97142000000008]"
1274,Pizzo Carbonara,1979.0,6493,,Province of Palermo Sicily,", Province of Palermo Sicily","[37.900000000000034, 14.033330000000035]"
1275,Topo de Coroa,1979.0,6493,,Cape Verde,", Cape Verde","[17.033330000000035, -25.283329999999978]"
1276,Mount Tongariro,1978.0,6490,,New Zealand,", New Zealand","[-39.128229999999974, 175.63021000000003]"
1277,Iceberg Peak,1977.0,6486,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[38.45019000000008, -119.82239999999996]"
1278,Pico Turquino,1975.0,6480,,Cuba – Highest point,", Cuba – Highest point","[19.989040000000045, -76.83911999999998]"
1279,El Piveto Mountain,1969.0,6460,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[49.71631000000008, -125.78621999999996]"
1280,Qiajivik Mountain,1963.0,6440,,"Baffin Island, Nunavut, Canada",", Baffin Island, Nunavut, Canada","[72.18190000000004, -75.90904999999998]"
1281,Monte Tamaro,1962.0,6437,,"Ticino, Switzerland",", Ticino, Switzerland","[46.1269869, 8.9196591]"
1282,Farcau Peak,1956.0,6417,,Romania,", Romania","[47.91667000000007, 24.450000000000045]"
1283,Montalto (Aspromonte),1955.0,6414,,Calabria Italy,", Calabria Italy","[-21.261344, -48.495538]"
1284,Ciucas Peak,1954.0,6411,,Romania,", Romania","[45.51667000000003, 25.916670000000067]"
1285,Chionistra,1952.0,6404,,Cyprus,", Cyprus","[34.93699000000004, 32.86354000000006]"
1286,Hallasan,1950.0,6398,,"Jejudo, South Korea – Highest Mountain in South Korea",", Jejudo, South Korea – Highest Mountain in South Korea","[33.35951000000006, 126.53267000000005]"
1287,Jabal Bil Ays,1934.0,6345,,Oman,", Oman","[25.951550000000054, 56.17850000000004]"
1288,Mullayanagiri,1930.0,6332,,"Chikmagalur, Karnataka, India",", Chikmagalur, Karnataka, India","[13.3166143, 75.7743997]"
1289,Helvetia Tinde,1929.0,6329,,"Roosevelt Range – Highest peak in Peary Land, Northern Greenland",", Roosevelt Range – Highest peak in Peary Land, Northern Greenland","[48.8459103, 2.3755434]"
1290,Botte Donato,1928.0,6325,,"Sila Mountains, Calabria, Italy",", Sila Mountains, Calabria, Italy","[39.283330000000035, 16.450000000000045]"
1291,Mount Kirigamine,1925.0,6316,,Japan,", Japan","[36.087875315000076, 138.17658687100004]"
1292,Mount Washington,1917.0,6289,,"Presidential Range, White Mtns., Appalachian Mountains, US – Highest in American Northeast",", Presidential Range, White Mtns., Appalachian Mountains, US – Highest in American Northeast","[44.27049000000005, -71.30345999999997]"
1293,Mount Siku,1915.0,6283,,"Pahang, Malaysia",", Pahang, Malaysia","[4.5970400000000495, 101.39763000000005]"
1294,Mount Jiri,1915.0,6283,,South Korea,", South Korea","[-11.433329999999955, 153.38333000000011]"
1295,Troglav,1913.0,6276,,"Highest peak of mountain Dinara, Bosnia and Herzegovina",", Highest peak of mountain Dinara, Bosnia and Herzegovina","[43.03167000000008, 18.543610000000058]"
1296,Mont Ventoux,1909.0,6263,,France,", France","[44.173460000000034, 5.278290000000027]"
1297,Ocolasu Mare,1907.0,6257,,Romania,", Romania","[46.95419000000004, 25.94551000000007]"
1298,Mount Toaca,1900.0,6234,,Romania,", Romania","[46.8046096, 24.9661754]"
1299,Vesper Peak,1896.0,6220,,"Washington, US",", Washington, US","[58.371390000000076, -134.36055999999996]"
1300,Baba Budangiri,1895.0,6217,,"Chikmagalur, Karnataka, India",", Chikmagalur, Karnataka, India","[13.423052, 75.770836]"
1301,Mount Narodnaya,1895.0,6217,,"Subpolar Urals, Russia",", Subpolar Urals, Russia","[51.58211000000006, 41.789390000000026]"
1302,Kudremukh,1894.0,6214,,"Chikmagalur, Karnataka, India",", Chikmagalur, Karnataka, India","[13.2204, 75.251404]"
1303,Orjen,1894.0,6214,,"Montenegro, Bosnia and Herzegovina",", Montenegro, Bosnia and Herzegovina","[42.58528000000007, 18.520830000000046]"
1304,Iskhodnaya,1887.0,6191,,Russia – Highest of the Chukotka Mountains,", Russia – Highest of the Chukotka Mountains","[46.19899000000004, 33.660520000000076]"
1305,Mount George V,1883.0,6178,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[49.64963000000006, -125.43617999999998]"
1306,Rugged Mountain,1875.0,6152,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[50.016290000000026, -126.68631999999997]"
1307,Agastya Mala,1868.0,6129,,"Tamil Nadu/Kerala, India",", Tamil Nadu/Kerala, India","[8.614530000000059, 77.24426000000005]"
1308,Trident Volcano,1864.0,6115,,"Alaska, US",", Alaska, US","[58.23500000000007, -155.10360999999997]"
1309,Mount Martin,1863.0,6112,,"Alaska, US",", Alaska, US","[-21.1137824, 148.8037096]"
1310,Knuckles,1862.0,6109,,Sri Lanka,", Sri Lanka","[7.400000000000034, 80.80000000000007]"
1311,Pico Ruivo,1861.0,6106,,"Madeira, Portugal",", Madeira, Portugal","[32.75870000000003, -16.942289999999957]"
1312,Budacu,1859.0,6099,,Romania,", Romania","[47.12331000000006, 25.67581000000007]"
1313,Giumalau,1856.0,6089,,Romania,", Romania","[47.43333000000007, 25.483330000000024]"
1314,Pico das Torres,1853.0,6079,,"Madeira, Portugal",", Madeira, Portugal","[43.3502052, -8.4042829]"
1315,Mont Ross,1850.0,6070,,"Gallieni Massif, Kerguelen Islands",", Gallieni Massif, Kerguelen Islands","[45.691592, -113.0536515]"
1316,Cucurbata Mare,1849.0,6066,,Romania,", Romania","[-4.7864178, 120.3329025]"
1317,Monte Soro,1847.0,6060,,Province of Messina Sicily,", Province of Messina Sicily","[37.93333000000007, 14.700000000000045]"
1318,Mount Ulap,1846.0,6056,,"Itogon, Benguet, Philippines",", Itogon, Benguet, Philippines","[43.31437452636922, -87.92818486952953]"
1319,Crown Mountain,1846.0,6056,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[57.60795000000007, -152.90607999999997]"
1320,Tibles,1839.0,6033,,Romania,", Romania","[47.51667000000003, 24.266670000000033]"
1321,Loser,1838.0,6030,,Austria,", Austria","[47.650000000000034, 13.766670000000033]"
1322,Vladeasa,1836.0,6024,,Romania,", Romania","[46.75000000000006, 22.800000000000068]"
1323,Punta La Marmora,1834.0,6017,,Sardinia,", Sardinia","[39.98813000000007, 9.324400000000026]"
1324,Sinjal,1831.0,6007,,Mountain Dinara – Highest peak of Croatia,", Mountain Dinara – Highest peak of Croatia","[30.519578, 78.272124]"
1325,Cerro La Campana,1828.0,5997,,"Olmue, Chile",", Olmue, Chile","[-39.31598999999994, -70.66151999999994]"
1326,Gora Nevskaya,1828.0,5997,,"Magadan Oblast, Russia – Highest of the Kolyma Mountains",", Magadan Oblast, Russia – Highest of the Kolyma Mountains","[62.21667000000008, 155.43333000000007]"
1327,Muntele Mare,1826.0,5991,,Romania,", Romania","[46.48333000000008, 23.233330000000024]"
1328,Cerro de la Silla,1820.0,5971,,Mexico,", Mexico","[25.6650737, -100.1933675]"
1329,Pico do Arieiro,1818.0,5965,,"Madeira, Portugal",", Madeira, Portugal","[32.7356094, -16.9286844]"
1330,Biligiriranga Hills,1800.0,5906,,"Chamarajanagar, Karnataka, India",", Chamarajanagar, Karnataka, India","[11.992981, 77.143936]"
1331,Monte Maggiorasca,1799.0,5902,,liguria - Emilia-Romagna Italy,", liguria - Emilia-Romagna Italy","[44.55105000000003, 9.489930000000072]"
1332,Rigi,1797.0,5896,,Swiss Alps,", Swiss Alps","[-8.775292, 121.153487]"
1333,Hășmașu Mare,1792.0,5879,,Romania,", Romania","[-4.7864178, 120.3329025]"
1334,Pietrosu Peak,1791.0,5876,,Romania,", Romania","[45.37283000000008, 24.464450000000056]"
1335,Goru,1784.0,5853,,Romania,", Romania","[13.4584546, 5.0493688]"
1336,Blokhin Peak,1779.0,5837,,"Chukotka, Russian Federation – Highest in Anyuy Range",", Chukotka, Russian Federation – Highest in Anyuy Range","[34.23526, -81.326797]"
1337,Velliangiri Mountains,1778.0,5833,,"Coimbatore, Tamil Nadu, India",", Coimbatore, Tamil Nadu, India","[53.77458712200007, -1.8609320029999594]"
1338,Lacaut,1777.0,5830,,Romania,", Romania","[45.816670000000045, 26.366670000000056]"
1339,Saca Peak,1776.0,5827,,Romania,", Romania","[-10.609389999999962, 14.805680000000052]"
1340,Penteleu,1772.0,5814,,Romania,", Romania","[45.60000000000008, 26.416670000000067]"
1341,Mount Veve,1768.0,5801,,"Kolombangara, Solomon Islands",", Kolombangara, Solomon Islands","[-7.951979999999935, 157.07622000000003]"
1342,Mount Adams,1766.0,5794,,"New Hampshire, US",", New Hampshire, US","[39.1075946, -84.4991807]"
1343,Monte Gariglione,1764.0,5787,,"Sila Mountains, Calabria, Italy",", Sila Mountains, Calabria, Italy","[38.98358811761791, 16.351540667499297]"
1344,Sveti Jure (Saint George),1762.0,5781,,"Mountain Biokovo, Croatia",", Mountain Biokovo, Croatia","[37.108284, -113.583277]"
1345,Pik Sovetskoy Gvardii,1759.0,5771,,"Chukotka, Russian Federation",", Chukotka, Russian Federation",
1346,Vaganski vrh,1757.0,5764,,"Mountain Velebit, Croatia",", Mountain Velebit, Croatia","[44.366910000000075, 15.505010000000027]"
1347,Mount Api,1750.0,5741,,"Gunung Mulu National Park, Sarawak, Malaysia",", Gunung Mulu National Park, Sarawak, Malaysia","[-4.522389999999973, 129.87931000000003]"
1348,Lovćen,1749.0,5738,,Montenegro,", Montenegro","[42.40500000000003, 18.81833000000006]"
1349,Tadiandamol,1748.0,5735,,"Kodagu, Karnataka, India",", Kodagu, Karnataka, India","[12.22465, 75.73594]"
1350,Mount Rogers,1746.0,5728,,"Virginia, US – Highest point in state",", Virginia, US – Highest point in state","[36.659980000000076, -81.54498999999998]"
1351,Doi Phi Pan Nam,1745.0,5725,,"Luang Prabang Range, Thailand",", Luang Prabang Range, Thailand","[19.181110000000047, 101.24583000000007]"
1352,Mount Wilson,1742.0,5715,,"California, US",", California, US","[38.256415, -114.442535]"
1353,Mount Jefferson,1741.0,5712,,"New Hampshire, US",", New Hampshire, US","[32.709576, -85.372446]"
1354,Monte Amiata,1738.0,5702,,Province of Grosseto Italy,", Province of Grosseto Italy","[42.9770555, 11.5484629]"
1355,Daisen,1729.0,5673,,Japan,", Japan","[39.453044840000075, 140.47545059000004]"
1356,The Horn (Mount Buffalo),1723.0,5653,,"Victoria, Australia",", Victoria, Australia","[-36.721041, 146.8180188]"
1357,Mount Batur,1717.0,5633,,"Bali, Indonesia",", Bali, Indonesia","[-8.260609, 115.33858]"
1358,Kumara Parvata,1712.0,5617,,"Dakshina Kannada, Karnataka, India",", Dakshina Kannada, Karnataka, India","[12.660730000000058, 75.68889000000007]"
1359,Pushpagiri,1712.0,5617,,"Pushpagiri Wildlife Sanctuary, Karnataka, India",", Pushpagiri Wildlife Sanctuary, Karnataka, India","[12.6519564, 79.1536385]"
1360,Mount Lowe,1707.0,5600,,"San Gabriel Mountains, California, US",", San Gabriel Mountains, California, US","[34.23195000000004, -118.10589999999996]"
1361,Boulder Peak,1707.0,5600,,"Olympic Mountains, Washington, US",", Olympic Mountains, Washington, US","[38.44769000000008, -119.68794999999994]"
1362,Doi Luang,1694.0,5558,,Thailand – Highest in the Phi Pan Nam Range,", Thailand – Highest in the Phi Pan Nam Range","[20.118315099277538, 100.09916077990982]"
1363,Mitre Peak,1692.0,5551,,New Zealand,", New Zealand","[38.65110000000004, -105.19803999999999]"
1364,Arma Konda,1680.0,5512,,India – Highest in Andhra Pradesh,", India – Highest in Andhra Pradesh","[18.22738000000004, 82.72723000000008]"
1365,Deomali,1672.0,5486,,India – Highest in Odisha,", India – Highest in Odisha","[27.1966, 95.463303]"
1366,Mount Caubvik,1652.0,5420,,"Torngat Mountains, Canada",", Torngat Mountains, Canada","[58.88361000000003, -63.71485999999999]"
1367,Kalsubai,1646.0,5400,,India – Highest in Maharashtra State,", India – Highest in Maharashtra State","[19.599730000000022, 73.70700000000005]"
1368,Rarau,1650.0,5413,,Romania,", Romania","[25.944283, 78.134331]"
1369,Peak 5390,1643.0,5390,,"Alaska, US",", Alaska, US","[43.0260391, 25.3660664]"
1370,Yamantau,1640.0,5381,,"Southern Urals, Russia",", Southern Urals, Russia","[34.63644794000004, 137.18469568000012]"
1371,Mount Monroe,1637.0,5371,,"New Hampshire, US",", New Hampshire, US","[44.25562000000008, -71.32201999999995]"
1372,Mount Madison,1636.0,5367,,"New Hampshire, US",", New Hampshire, US","[44.328400000000045, -71.27784999999994]"
1373,Mount Krebs,1630.0,5348,,Antarctica,", Antarctica","[-84.83332999999999, -170.33332999999996]"
1374,Mount Marcy,1629.0,5344,,"New York, US",", New York, US","[38.145830000000046, -105.67611999999997]"
1375,Trebević,1627.0,5338,,Bosnia and Herzegovina,", Bosnia and Herzegovina","[43.81833000000006, 18.460750000000075]"
1376,Mount Bartle Frere,1622.0,5322,,"Queensland, Australia",", Queensland, Australia","[-17.383329999999944, 145.81667000000004]"
1377,Rocca Busambra,1613.0,5292,,Province of Palermo Sicily,", Province of Palermo Sicily","[37.85000000000008, 13.400000000000034]"
1378,Velky Rozsutec,1610.0,5282,,"Mala Fatra, Slovakia",", Mala Fatra, Slovakia","[49.231840000000034, 19.099730000000022]"
1379,Brahmagiri,1608.0,5276,,"Kodagu, Karnataka, India",", Kodagu, Karnataka, India","[19.795842, 85.642453]"
1380,Mount Katahdin,1606.0,5269,,"Maine, US",", Maine, US","[45.90428000000003, -68.92135999999994]"
1381,Sněžka,1602.0,5256,,"Krkonoše, Czech Republic – #1 in Czech Republic",", Krkonoše, Czech Republic – #1 in Czech Republic","[50.73609000000005, 15.739790000000028]"
1382,Sirumalai,1600.0,5249,,Tamil Nadu India,", Tamil Nadu India","[10.197461, 78.022112]"
1383,Mount Lafayette,1600.0,5249,,"New Hampshire, US",", New Hampshire, US","[44.160750000000064, -71.64432999999997]"
1384,Mount Washington (British Columbia),1590.0,5217,,"Vancouver Island, British Columbia, Canada",", Vancouver Island, British Columbia, Canada","[49.740715084000044, -125.30334709399995]"
1385,Mount Benarat,1585.0,5200,,"Gunung Mulu National Park, Sarawak, Malaysia",", Gunung Mulu National Park, Sarawak, Malaysia","[4.167850000000044, 114.92712000000006]"
1386,Wai'ale'ale,1569.0,5148,,"Kauai, Hawaii, US",", Kauai, Hawaii, US","[22.070830000000058, -159.49777999999998]"
1387,Salher,1567.0,5141,,"Maharashtra, India",", Maharashtra, India","[20.7089373, 73.9391855]"
1388,Cirque Mountain,1567.0,5141,,"Labrador, Canada",", Labrador, Canada","[38.131860000000074, -119.45877999999999]"
1389,Algonquin Peak,1559.0,5115,,"New York, US",", New York, US","[44.14366000000007, -73.98653999999993]"
1390,Mount Lincoln,1551.0,5089,,"New Hampshire, US",", New Hampshire, US","[39.106092, -108.383421]"
1391,Superstition Mountain,1542.0,5059,,"Arizona, US",", Arizona, US","[33.41116000000005, -111.40067999999997]"
1392,Mount Tai,1532.0,5026,,"Shandong, China",", Shandong, China","[-37.9087859, 145.189247]"
1393,Jabel Yibir,1527.0,5010,,United Arab Emirates,", United Arab Emirates","[25.667520000000025, 56.13572000000005]"
1394,Madikeri,1525.0,5003,,"Kodagu, Karnataka, India",", Kodagu, Karnataka, India","[12.4325, 75.751602]"
1395,Mount Popa,1518.0,4980,,Myanmar,", Myanmar","[20.92035000000004, 95.25376000000006]"
1396,Askja,1516.0,4974,,Iceland,", Iceland","[64.1373382, -21.9453842]"
1397,Monte Boglia,1516.0,4974,,"Ticino, Switzerland",", Ticino, Switzerland","[46.02978000000007, 9.00750000000005]"
1398,Kamakau,1512.0,4961,,"Molokai, Hawaii, US",", Molokai, Hawaii, US","[35.727947640000025, 140.63628012000004]"
1399,Song Shan,1512.0,4961,,"Henan, China",", Henan, China","[29.964720000000057, 122.12972000000002]"
1400,Pico de Malpaso,1501.0,4925,,"Canary Islands, Spain",", Canary Islands, Spain","[20.566190000000063, -104.13970999999998]"
1401,Javaleon,1494.0,4902,,Spain,", Spain","[16.99306000000007, -92.51527999999996]"
1402,Mount Nuang,1491.0,4892,,"Titiwangsa Mountains, Malaysia",", Titiwangsa Mountains, Malaysia","[3.2666700000000333, 101.90000000000003]"
1403,Hekla,1491.0,4892,,Iceland,", Iceland","[63.31195000000008, 29.61746000000005]"
1404,Mount Pinatubo,1486.0,4875,,"Luzon, Philippines",", Luzon, Philippines","[15.135970000000043, 120.35593000000006]"
1405,Spruce Knob,1482.0,4862,,"West Virginia, US",", West Virginia, US","[66.23333000000008, -155.86666999999997]"
1406,Lyaskovets Peak,1473.0,4833,,Antarctica,", Antarctica","[-62.66313999999994, -60.14362999999997]"
1407,Mount Olympus,1471.0,4826,,"Tasmania, Australia",", Tasmania, Australia","[40.081750000000056, 22.349540000000047]"
1408,Agriolefkes,1471.0,4826,,"Pelion, Greece",", Pelion, Greece","[39.3898261, 23.0777525]"
1409,La Grande Soufrière,1467.0,4813,,"Guadeloupe, France",", Guadeloupe, France","[16.044560000000047, -61.66340999999994]"
1410,Monte Penice,1460.0,4790,,Lombardy - Emilia-Romagna Italy,", Lombardy - Emilia-Romagna Italy","[44.78473000000008, 9.317350000000033]"
1411,Mount Seymour,1455.0,4774,,"British Columbia, Canada",", British Columbia, Canada","[-42.4009616, 147.4494099]"
1412,Himavad Gopalaswamy Betta,1450.0,4757,,"Chamarajanagar, Karnataka, India",", Chamarajanagar, Karnataka, India","[11.720719, 76.580398]"
1413,Snæfellsjökull,1446.0,4744,,Iceland,", Iceland","[64.81104000000005, -23.76899999999995]"
1414,Gutai Peak,1443.0,4734,,Romania,", Romania","[47.700000000000045, 23.866670000000056]"
1415,Mount Kalourat,1435.0,4708,,"Malaita, Solomon Islands",", Malaita, Solomon Islands","[-9.166299999999978, 161.0758300000001]"
1416,Mount Woodroffe,1435.0,4708,,South Australia,", South Australia","[-26.31889999999993, 131.74525000000006]"
1417,Cypress Mountain,1432.0,4698,,"British Columbia, Canada",", British Columbia, Canada","[34.668630000000064, -113.02879999999999]"
1418,Taramati,1431.0,4695,,"Maharashtra, India",", Maharashtra, India","[17.3761111, 78.3782563]"
1419,Harishchandragad,1427.0,4682,,"Maharashtra, India",", Maharashtra, India","[19.394993, 73.803219]"
1420,Tukgahgo Mountain,1425.0,4675,,"Alaska, US",", Alaska, US","[59.30028000000004, -135.62944]"
1421,Raireshwar,1398.0,4587,,"Maharashtra, India",", Maharashtra, India","[18.048006, 73.722731]"
1422,Taburno Camposauro,1393.0,4570,,Campania Italy,", Campania Italy","[41.1428369, 14.5638961]"
1423,Parasnath,1366.0,4482,,India – Highest in Jharkhand State,", India – Highest in Jharkhand State","[23.965630000000033, 86.14569000000006]"
1424,Dhupgarh,1350.0,4429,,India – Highest in Madhya Pradesh,", India – Highest in Madhya Pradesh","[22.448920000000044, 78.37140000000005]"
1425,Ben Nevis,1345.0,4413,,"Scotland, United Kingdom – Highest in the United Kingdom",", Scotland, United Kingdom – Highest in the United Kingdom","[-37.1917187, 143.1184631]"
1426,Kodachadri,1343.0,4406,,"Shimoga, Karnataka, India",", Shimoga, Karnataka, India","[13.857340000000022, 74.86731000000003]"
1427,Mount Jiuhua,1342.0,4403,,"Anhui, China",", Anhui, China","[30.541670000000067, 117.79167000000007]"
